3.000000000000000000e+02 6.652297867999999426e+01 3.213380100000000072e-01
4.000000000000000000e+02 5.099836481999999904e+01 3.482245600000000163e-01
5.000000000000000000e+02 4.237546946999999875e+01 3.524554899999999824e-01
6.000000000000000000e+02 3.668442610999999687e+01 3.677719099999999797e-01
7.000000000000000000e+02 3.272943977999999987e+01 3.827652000000000276e-01
8.000000000000000000e+02 2.963553501000000168e+01 4.032955999999999763e-01
9.000000000000000000e+02 2.755030444000000145e+01 4.174430199999999980e-01
1.000000000000000000e+03 2.560197983000000121e+01 4.435208400000000273e-01
1.100000000000000000e+03 2.403376542000000171e+01 4.299810600000000260e-01
1.200000000000000000e+03 2.285618320000000026e+01 4.252226299999999903e-01
1.300000000000000000e+03 2.177608573999999919e+01 4.265724300000000024e-01
1.400000000000000000e+03 2.091548158999999885e+01 4.312589800000000140e-01
1.500000000000000000e+03 2.008733407000000071e+01 4.358957999999999999e-01
