3.000000000000000000e+02 5.592094500999999696e+01 3.238828999999999736e-01
4.000000000000000000e+02 4.021474761999999714e+01 3.528351399999999916e-01
5.000000000000000000e+02 3.156042173999999889e+01 3.811217299999999919e-01
6.000000000000000000e+02 2.593216088000000141e+01 4.009116699999999978e-01
7.000000000000000000e+02 2.209848854000000173e+01 4.312172499999999964e-01
8.000000000000000000e+02 1.915632847999999910e+01 4.561932899999999735e-01
9.000000000000000000e+02 1.707002195999999827e+01 4.762264600000000181e-01
1.000000000000000000e+03 1.541692014999999927e+01 5.023018099999999597e-01
1.100000000000000000e+03 1.395537578000000067e+01 5.205726800000000098e-01
1.200000000000000000e+03 1.292245263999999949e+01 5.347461500000000312e-01
1.300000000000000000e+03 1.183300065000000068e+01 5.487674999999999637e-01
1.400000000000000000e+03 1.111638484999999932e+01 5.632523600000000075e-01
1.500000000000000000e+03 1.035773479000000030e+01 5.760705999999999882e-01
