3.000000000000000000e+02 5.609565802000000190e+01 3.141705799999999771e-01
4.000000000000000000e+02 4.038690503000000120e+01 3.489813199999999838e-01
5.000000000000000000e+02 3.172370482999999908e+01 3.702888999999999764e-01
6.000000000000000000e+02 2.609135054000000054e+01 3.918969199999999820e-01
7.000000000000000000e+02 2.222093914999999953e+01 4.173234599999999794e-01
8.000000000000000000e+02 1.928175883999999840e+01 4.431554100000000274e-01
9.000000000000000000e+02 1.716755659000000023e+01 4.623725100000000143e-01
1.000000000000000000e+03 1.548661189999999976e+01 4.861359499999999834e-01
1.100000000000000000e+03 1.402828112000000083e+01 5.016859299999999466e-01
1.200000000000000000e+03 1.297728135999999921e+01 5.152788400000000157e-01
1.300000000000000000e+03 1.187149162999999952e+01 5.273736300000000377e-01
1.400000000000000000e+03 1.114378877000000045e+01 5.415224699999999780e-01
1.500000000000000000e+03 1.037710097999999981e+01 5.539230099999999934e-01
